  107   3.763596 10.128.27.116 → 3.21.250.42  TCP 68 47440 → 443 [ACK] Seq=822 Ack=28387 Win=85504 Len=0 TSval=563212994 TSecr=4261289087
  108   3.759844    10.0.2.15 → 185.195.233.76 WireGuard 140 Transport Data, receiver=0x4284655F, counter=100, datalen=64
  109   3.780445 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x2E2F3ABD, counter=174, datalen=1380
  110   3.780455 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x2E2F3ABD, counter=175, datalen=1380
  111   3.779843  3.21.250.42 → 10.128.27.116 TCP 1396 443 → 47440 [ACK] Seq=28387 Ack=822 Win=28160 Len=1328 TSval=4261289103 TSecr=563212738 [TCP segment of a reassembled PDU]
  112   3.779843  3.21.250.42 → 10.128.27.116 TCP 1396 443 → 47440 [ACK] Seq=29715 Ack=822 Win=28160 Len=1328 TSval=4261289103 TSecr=563212738 [TCP segment of a reassembled PDU]
  113   3.779843 10.128.27.116 → 3.21.250.42  TCP 68 47440 → 443 [ACK] Seq=822 Ack=31043 Win=90880 Len=0 TSval=563213010 TSecr=4261289103
  114   3.779843    10.0.2.15 → 185.195.233.76 WireGuard 140 Transport Data, receiver=0x4284655F, counter=101, datalen=64
  115   3.797941 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x2E2F3ABD, counter=176, datalen=1380
  116   3.797963 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x2E2F3ABD, counter=177, datalen=1380
  117   3.798304  3.21.250.42 → 10.128.27.116 TCP 1396 443 → 47440 [ACK] Seq=31043 Ack=822 Win=28160 Len=1328 TSval=4261289120 TSecr=563212738 [TCP segment of a reassembled PDU]
  118   3.798396  3.21.250.42 → 10.128.27.116 TCP 1396 443 → 47440 [ACK] Seq=32371 Ack=822 Win=28160 Len=1328 TSval=4261289120 TSecr=563212738 [TCP segment of a reassembled PDU]
  119   3.798405 10.128.27.116 → 3.21.250.42  TCP 68 47440 → 443 [ACK] Seq=822 Ack=33699 Win=95104 Len=0 TSval=563213029 TSecr=4261289120
  120   3.795842    10.0.2.15 → 185.195.233.76 WireGuard 140 Transport Data, receiver=0x4284655F, counter=102, datalen=64
  121   3.814326 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x2E2F3ABD, counter=178, datalen=1380
  122   3.814374 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x2E2F3ABD, counter=179, datalen=1380
  123   3.811841  3.21.250.42 → 10.128.27.116 TCP 1396 443 → 47440 [ACK] Seq=33699 Ack=822 Win=28160 Len=1328 TSval=4261289137 TSecr=563212738 [TCP segment of a reassembled PDU]
  124   3.811841  3.21.250.42 → 10.128.27.116 TLSv1.3 1396 Application Data [TCP segment of a reassembled PDU]
  125   3.811841 10.128.27.116 → 3.21.250.42  TCP 68 47440 → 443 [ACK] Seq=822 Ack=36355 Win=95104 Len=0 TSval=563213042 TSecr=4261289137
  126   3.811841    10.0.2.15 → 185.195.233.76 WireGuard 140 Transport Data, receiver=0x4284655F, counter=103, datalen=64
  127   3.831122 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x2E2F3ABD, counter=180, datalen=1380
  128   3.831133 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x2E2F3ABD, counter=181, datalen=1380
  129   3.827839  3.21.250.42 → 10.128.27.116 TCP 1396 443 → 47440 [ACK] Seq=36355 Ack=822 Win=28160 Len=1328 TSval=4261289154 TSecr=563212738 [TCP segment of a reassembled PDU]
  130   3.827839  3.21.250.42 → 10.128.27.116 TCP 1396 443 → 47440 [ACK] Seq=37683 Ack=822 Win=28160 Len=1328 TSval=4261289154 TSecr=563212738 [TCP segment of a reassembled PDU]
  131   3.827839 10.128.27.116 → 3.21.250.42  TCP 68 47440 → 443 [ACK] Seq=822 Ack=39011 Win=95104 Len=0 TSval=563213058 TSecr=4261289154
  132   3.827839    10.0.2.15 → 185.195.233.76 WireGuard 140 Transport Data, receiver=0x4284655F, counter=104, datalen=64
